Data da Tarefa,Tipo de Exercício,Objetivo Repetições,Objetivo Séries,Status da Tarefa,Penalidade
07/11/2024,Desafio Flow,15,4,Concluída,5
08/11/2024,Desafio Flow,15,4,Falhou,5
